country,continent,date,vacc,ttl_vacc,ppl_vacc,ppl_ful_vacc,dai_vacc_raw,dai_vacc,ttl_vacc_per_100,ppl_vacc_per_100,ppl_ful_vacc_per_100,dai_vacc_per_million,dvraw_1,csum,population,codes
Afghanistan,Asia,23/2/2021,Oxford/AstraZeneca,1367,NA,NA,1367,1367,0.003,NA,NA,35,NA,1367,39074280,AFG
Afghanistan,Asia,24/2/2021,Oxford/AstraZeneca,2734,NA,NA,1367,1367,0.007,NA,NA,35,NA,2734,39074280,AFG
Afghanistan,Asia,25/2/2021,Oxford/AstraZeneca,4101,NA,NA,1367,1367,0.01,NA,NA,35,NA,4101,39074280,AFG
Afghanistan,Asia,26/2/2021,Oxford/AstraZeneca,5468,NA,NA,1367,1367,0.014,NA,NA,35,NA,5468,39074280,AFG
Afghanistan,Asia,27/2/2021,Oxford/AstraZeneca,6835,NA,NA,1367,1367,0.017,NA,NA,35,NA,6835,39074280,AFG
Afghanistan,Asia,28/2/2021,Oxford/AstraZeneca,8200,8200,NA,1367,1367,0.021,0.021,NA,35,NA,8202,39074280,AFG
Afghanistan,Asia,1/3/2021,Oxford/AstraZeneca,9782,NA,NA,1580,1580,0.025,NA,NA,41,NA,9782,39074280,AFG
Afghanistan,Asia,2/3/2021,Oxford/AstraZeneca,11576,NA,NA,1794,1794,0.03,NA,NA,46,NA,11576,39074280,AFG
Afghanistan,Asia,3/3/2021,Oxford/AstraZeneca,13584,NA,NA,2008,2008,0.035,NA,NA,52,NA,13584,39074280,AFG
Afghanistan,Asia,4/3/2021,Oxford/AstraZeneca,15805,NA,NA,2221,2221,0.04,NA,NA,57,NA,15805,39074280,AFG
Afghanistan,Asia,5/3/2021,Oxford/AstraZeneca,18240,NA,NA,2435,2435,0.047,NA,NA,63,NA,18240,39074280,AFG
Afghanistan,Asia,6/3/2021,Oxford/AstraZeneca,20889,NA,NA,2649,2649,0.053,NA,NA,68,NA,20889,39074280,AFG
Afghanistan,Asia,7/3/2021,Oxford/AstraZeneca,23751,NA,NA,2862,2862,0.061,NA,NA,74,NA,23751,39074280,AFG
Afghanistan,Asia,8/3/2021,Oxford/AstraZeneca,26613,NA,NA,2862,2862,0.068,NA,NA,74,NA,26613,39074280,AFG
Afghanistan,Asia,9/3/2021,Oxford/AstraZeneca,29475,NA,NA,2862,2862,0.075,NA,NA,74,NA,29475,39074280,AFG
Afghanistan,Asia,10/3/2021,Oxford/AstraZeneca,32337,NA,NA,2862,2862,0.083,NA,NA,74,NA,32337,39074280,AFG
Afghanistan,Asia,11/3/2021,Oxford/AstraZeneca,35199,NA,NA,2862,2862,0.09,NA,NA,74,NA,35199,39074280,AFG
Afghanistan,Asia,12/3/2021,Oxford/AstraZeneca,38061,NA,NA,2862,2862,0.097,NA,NA,74,NA,38061,39074280,AFG
Afghanistan,Asia,13/3/2021,Oxford/AstraZeneca,40923,NA,NA,2862,2862,0.105,NA,NA,74,NA,40923,39074280,AFG
Afghanistan,Asia,14/3/2021,Oxford/AstraZeneca,43785,NA,NA,2862,2862,0.112,NA,NA,74,NA,43785,39074280,AFG
Afghanistan,Asia,15/3/2021,Oxford/AstraZeneca,46647,NA,NA,2862,2862,0.119,NA,NA,74,NA,46647,39074280,AFG
Afghanistan,Asia,16/3/2021,Oxford/AstraZeneca,54000,54000,NA,2862,2862,0.138,0.138,NA,74,NA,49509,39074280,AFG
Afghanistan,Asia,17/3/2021,Oxford/AstraZeneca,52391,NA,NA,2882,2882,0.134,NA,NA,74,NA,52391,39074280,AFG
Afghanistan,Asia,18/3/2021,Oxford/AstraZeneca,55293,NA,NA,2902,2902,0.142,NA,NA,75,NA,55293,39074280,AFG
Afghanistan,Asia,19/3/2021,Oxford/AstraZeneca,58214,NA,NA,2921,2921,0.149,NA,NA,75,NA,58214,39074280,AFG
Afghanistan,Asia,20/3/2021,Oxford/AstraZeneca,61155,NA,NA,2941,2941,0.157,NA,NA,76,NA,61155,39074280,AFG
Afghanistan,Asia,21/3/2021,Oxford/AstraZeneca,64116,NA,NA,2961,2961,0.164,NA,NA,76,NA,64116,39074280,AFG
Afghanistan,Asia,22/3/2021,Oxford/AstraZeneca,67096,NA,NA,2980,2980,0.172,NA,NA,77,NA,67096,39074280,AFG
Afghanistan,Asia,23/3/2021,Oxford/AstraZeneca,70096,NA,NA,3000,3000,0.179,NA,NA,77,NA,70096,39074280,AFG
Afghanistan,Asia,24/3/2021,Oxford/AstraZeneca,73096,NA,NA,3000,3000,0.187,NA,NA,77,NA,73096,39074280,AFG
Afghanistan,Asia,25/3/2021,Oxford/AstraZeneca,76096,NA,NA,3000,3000,0.195,NA,NA,77,NA,76096,39074280,AFG
Afghanistan,Asia,26/3/2021,Oxford/AstraZeneca,79096,NA,NA,3000,3000,0.202,NA,NA,77,NA,79096,39074280,AFG
Afghanistan,Asia,27/3/2021,Oxford/AstraZeneca,82096,NA,NA,3000,3000,0.21,NA,NA,77,NA,82096,39074280,AFG
Afghanistan,Asia,28/3/2021,Oxford/AstraZeneca,85096,NA,NA,3000,3000,0.218,NA,NA,77,NA,85096,39074280,AFG
Afghanistan,Asia,29/3/2021,Oxford/AstraZeneca,88096,NA,NA,3000,3000,0.225,NA,NA,77,NA,88096,39074280,AFG
Afghanistan,Asia,30/3/2021,Oxford/AstraZeneca,91096,NA,NA,3000,3000,0.233,NA,NA,77,NA,91096,39074280,AFG
Afghanistan,Asia,31/3/2021,Oxford/AstraZeneca,94096,NA,NA,3000,3000,0.241,NA,NA,77,NA,94096,39074280,AFG
Afghanistan,Asia,1/4/2021,Oxford/AstraZeneca,97096,NA,NA,3000,3000,0.248,NA,NA,77,NA,97096,39074280,AFG
Afghanistan,Asia,2/4/2021,Oxford/AstraZeneca,100096,NA,NA,3000,3000,0.256,NA,NA,77,NA,100096,39074280,AFG
Afghanistan,Asia,3/4/2021,Oxford/AstraZeneca,103096,NA,NA,3000,3000,0.264,NA,NA,77,NA,103096,39074280,AFG
Afghanistan,Asia,4/4/2021,Oxford/AstraZeneca,106096,NA,NA,3000,3000,0.272,NA,NA,77,NA,106096,39074280,AFG
Afghanistan,Asia,5/4/2021,Oxford/AstraZeneca,109096,NA,NA,3000,3000,0.279,NA,NA,77,NA,109096,39074280,AFG
Afghanistan,Asia,6/4/2021,Oxford/AstraZeneca,112096,NA,NA,3000,3000,0.287,NA,NA,77,NA,112096,39074280,AFG
Afghanistan,Asia,7/4/2021,Oxford/AstraZeneca,120000,120000,NA,3000,3000,0.307,0.307,NA,77,NA,115096,39074280,AFG
Afghanistan,Asia,8/4/2021,Oxford/AstraZeneca,118810,NA,NA,3714,3714,0.304,NA,NA,95,NA,118810,39074280,AFG
Afghanistan,Asia,9/4/2021,Oxford/AstraZeneca,123239,NA,NA,4429,4429,0.315,NA,NA,114,NA,123239,39074280,AFG
